,text,url,state,state_abbr
151,Idaho_CD_1992_2000.zip (66.0 KB),https://thearp.org/documents/12856/Idaho_CD_1992_2000.zip,IDAHO,ID
152,id_upper_1992to2000.zip (1.9 MB),https://thearp.org/documents/12738/id_upper_1992to2000.zip,ID,ID
153,id_lower_1992to2000.zip (1.9 MB),https://thearp.org/documents/12737/id_lower_1992to2000.zip,ID,ID
154,ID_CD_2002_2010.zip (626.0 KB),https://thearp.org/documents/11022/ID_CD_2002_2010.zip,ID,ID
155,id_upper_2002to2010.zip (1.4 MB),https://thearp.org/documents/10610/id_upper_2002to2010.zip,ID,ID
156,id_lower_2002to2010.zip (1.4 MB),https://thearp.org/documents/10700/id_lower_2002to2010.zip,ID,ID
157,ID_2012to2020_CD.zip (584.8 KB),https://thearp.org/documents/5041/ID_2012to2020_CD.zip,ID,ID
158,ID_2012to2020_SU.zip (1.4 MB),https://thearp.org/documents/5128/ID_2012to2020_SU.zip,ID,ID
159,ID_2012to2020_SL.zip (1.4 MB),https://thearp.org/documents/5169/ID_2012to2020_SL.zip,ID,ID
160,ID_CD_Enacted11102021.zip (665.0 KB),https://thearp.org/documents/682/ID_CD_Enacted11102021.zip,ID,ID
161,ID_SD_Enacted11102021.zip (1.9 MB),https://thearp.org/documents/688/ID_SD_Enacted11102021.zip,ID,ID
162,ID_LD_Enacted11102021.zip (1.9 MB),https://thearp.org/documents/685/ID_LD_Enacted11102021.zip,ID,ID
163,Illinois_CD_1992_2000.zip (169.0 KB),https://thearp.org/documents/12857/Illinois_CD_1992_2000.zip,ILLINOIS,IL
164,il_upper_1992to2000.zip (1.5 MB),https://thearp.org/documents/12740/il_upper_1992to2000.zip,IL,IL
165,il_lower_1992to2000.zip (2.1 MB),https://thearp.org/documents/12739/il_lower_1992to2000.zip,IL,IL
166,IL_CD_2002_2010.zip (1.5 MB),https://thearp.org/documents/11023/IL_CD_2002_2010.zip,IL,IL
167,il_upper_2002to2010.zip (1.7 MB),https://thearp.org/documents/10611/il_upper_2002to2010.zip,IL,IL
168,il_lower_2002to2010.zip (2.2 MB),https://thearp.org/documents/10699/il_lower_2002to2010.zip,IL,IL
169,IL_2012to2020_CD.zip (1.3 MB),https://thearp.org/documents/5042/IL_2012to2020_CD.zip,IL,IL
170,IL_2012to2020_SU.zip (1.9 MB),https://thearp.org/documents/5129/IL_2012to2020_SU.zip,IL,IL
171,IL_2012to2020_SL.zip (2.6 MB),https://thearp.org/documents/5170/IL_2012to2020_SL.zip,IL,IL
172,IL_CD_Enacted11232021.zip (196.4 KB),https://thearp.org/documents/691/IL_CD_Enacted11232021.zip,IL,IL
173,Illinois_SD_20210831_Sent_0924_Q2wnnbz.zip (263.5 KB),https://thearp.org/documents/697/Illinois_SD_20210831_Sent_0924_Q2wnnbz.zip,ILLINOIS,IL
174,Illinois_HD_20210831_sent_0924_Vnk2UaK.zip (358.7 KB),https://thearp.org/documents/694/Illinois_HD_20210831_sent_0924_Vnk2UaK.zip,ILLINOIS,IL
175,Indiana_CD_1992_2000.zip (79.7 KB),https://thearp.org/documents/12858/Indiana_CD_1992_2000.zip,INDIANA,IN
176,in_upper_1992to2000.zip (1.2 MB),https://thearp.org/documents/12742/in_upper_1992to2000.zip,IN,IN
177,in_lower_1992to2000.zip (1.9 MB),https://thearp.org/documents/12741/in_lower_1992to2000.zip,IN,IN
178,IN_CD_2002_2010.zip (731.1 KB),https://thearp.org/documents/11024/IN_CD_2002_2010.zip,IN,IN
179,in_upper_2002to2010.zip (1.1 MB),https://thearp.org/documents/10612/in_upper_2002to2010.zip,IN,IN
180,in_lower_2002to2010.zip (2.1 MB),https://thearp.org/documents/10698/in_lower_2002to2010.zip,IN,IN
181,IN_2012to2020_CD.zip (521.7 KB),https://thearp.org/documents/5043/IN_2012to2020_CD.zip,IN,IN
182,IN_2012to2020_SU.zip (1.1 MB),https://thearp.org/documents/5130/IN_2012to2020_SU.zip,IN,IN
183,IN_2012to2020_SL.zip (1.7 MB),https://thearp.org/documents/5171/IN_2012to2020_SL.zip,IN,IN
184,IN_CD_Enacted10042021.zip (538.7 KB),https://thearp.org/documents/700/IN_CD_Enacted10042021.zip,IN,IN
185,IN_SD_Enacted10042021.zip (1.3 MB),https://thearp.org/documents/706/IN_SD_Enacted10042021.zip,IN,IN
186,IN_LD_Enacted10042021.zip (1.8 MB),https://thearp.org/documents/703/IN_LD_Enacted10042021.zip,IN,IN
187,iowa_cd_1992_2000.zip (58.3 KB),https://thearp.org/documents/12859/iowa_cd_1992_2000.zip,IOWA,IA
188,ia_upper_1992to2000.zip (924.3 KB),https://thearp.org/documents/12736/ia_upper_1992to2000.zip,IA,IA
189,ia_lower_1992to2000.zip (1.2 MB),https://thearp.org/documents/12735/ia_lower_1992to2000.zip,IA,IA
190,IA_CD_2002_2010.zip (512.9 KB),https://thearp.org/documents/11021/IA_CD_2002_2010.zip,IA,IA
191,ia_upper_2002to2010.zip (957.2 KB),https://thearp.org/documents/10609/ia_upper_2002to2010.zip,IA,IA
192,ia_lower_2002to2010.zip (1.2 MB),https://thearp.org/documents/10701/ia_lower_2002to2010.zip,IA,IA
193,IA_2012to2020_CD.zip (429.5 KB),https://thearp.org/documents/5040/IA_2012to2020_CD.zip,IA,IA
194,IA_2012to2020_SU.zip (1.1 MB),https://thearp.org/documents/5127/IA_2012to2020_SU.zip,IA,IA
195,IA_2012to2020_SL.zip (1.4 MB),https://thearp.org/documents/5168/IA_2012to2020_SL.zip,IA,IA
196,IA_CD_Enacted11042021.zip (506.6 KB),https://thearp.org/documents/709/IA_CD_Enacted11042021.zip,IA,IA
197,IA_SD_Enacted11042021.zip (1.3 MB),https://thearp.org/documents/715/IA_SD_Enacted11042021.zip,IA,IA
198,IA_LD_Enacted11042021.zip (1.7 MB),https://thearp.org/documents/712/IA_LD_Enacted11042021.zip,IA,IA
199,Kansas_CD_1992_2000.zip (44.1 KB),https://thearp.org/documents/12860/Kansas_CD_1992_2000.zip,KANSAS,KS
200,ks_upper_1992to2000.zip (853.6 KB),https://thearp.org/documents/12744/ks_upper_1992to2000.zip,KS,KS
201,ks_lower_1992to2000.zip (1.4 MB),https://thearp.org/documents/12743/ks_lower_1992to2000.zip,KS,KS
202,KS_CD_2002_2010.zip (396.9 KB),https://thearp.org/documents/11025/KS_CD_2002_2010.zip,KS,KS
203,ks_upper_2002to2010.zip (802.4 KB),https://thearp.org/documents/10613/ks_upper_2002to2010.zip,KS,KS
204,ks_lower_2002to2010.zip (1.3 MB),https://thearp.org/documents/10697/ks_lower_2002to2010.zip,KS,KS
205,KS_2012to2020_CD.zip (308.9 KB),https://thearp.org/documents/5044/KS_2012to2020_CD.zip,KS,KS
206,KS_2012to2020_SU.zip (885.7 KB),https://thearp.org/documents/5131/KS_2012to2020_SU.zip,KS,KS
207,KS_2012to2020_SL.zip (1.3 MB),https://thearp.org/documents/5172/KS_2012to2020_SL.zip,KS,KS
208,KS_CD_Enacted02092022.zip (453.7 KB),https://thearp.org/documents/718/KS_CD_Enacted02092022.zip,KS,KS
209,KS_SD_Enacted04152022.zip (966.8 KB),https://thearp.org/documents/724/KS_SD_Enacted04152022.zip,KS,KS
210,KS_LD_Enacted04152022.zip (1.6 MB),https://thearp.org/documents/721/KS_LD_Enacted04152022.zip,KS,KS
211,Kentucky_CD_1996_2000.zip (107.8 KB),https://thearp.org/documents/12861/Kentucky_CD_1996_2000.zip,KENTUCKY,KY
212,KY_upper_1996to2000.zip (1.3 MB),https://thearp.org/documents/12746/KY_upper_1996to2000.zip,KY,KY
213,KY_lower_1996to2000.zip (2.1 MB),https://thearp.org/documents/12745/KY_lower_1996to2000.zip,KY,KY
214,KY_CD_2002_2010.zip (811.0 KB),https://thearp.org/documents/11026/KY_CD_2002_2010.zip,KY,KY
215,ky_upper_2002to2010.zip (2.1 MB),https://thearp.org/documents/10614/ky_upper_2002to2010.zip,KY,KY
216,ky_lower_2002to2010.zip (3.7 MB),https://thearp.org/documents/10696/ky_lower_2002to2010.zip,KY,KY
217,KY_2010to2012_SU.zip (2.1 MB),https://thearp.org/documents/5132/KY_2010to2012_SU.zip,KY,KY
218,KY_2010to2012_SL.zip (3.4 MB),https://thearp.org/documents/5173/KY_2010to2012_SL.zip,KY,KY
219,KY_2012to2020_CD.zip (966.3 KB),https://thearp.org/documents/5045/KY_2012to2020_CD.zip,KY,KY
220,KY_2014to2020_SU.zip (2.0 MB),https://thearp.org/documents/5133/KY_2014to2020_SU.zip,KY,KY
221,KY_2014to2020_SL.zip (3.9 MB),https://thearp.org/documents/5174/KY_2014to2020_SL.zip,KY,KY
222,KY_CD_Enacted01202022.zip (1.1 MB),https://thearp.org/documents/727/KY_CD_Enacted01202022.zip,KY,KY
223,KY_SD_Enacted01212022.zip (2.4 MB),https://thearp.org/documents/733/KY_SD_Enacted01212022.zip,KY,KY
224,KY_LD_Enacted01202022.zip (3.8 MB),https://thearp.org/documents/730/KY_LD_Enacted01202022.zip,KY,KY
225,LA_CD_1992.zip (233.2 KB),https://thearp.org/documents/12994/LA_CD_1992.zip,LA,LA
226,la_upper_1992to2000.zip (2.0 MB),https://thearp.org/documents/12748/la_upper_1992to2000.zip,LA,LA
227,LA_LD_1992-2000.zip (1.7 MB),https://thearp.org/documents/12747/LA_LD_1992-2000.zip,LA,LA
228,LA_CD_1994.zip (144.8 KB),https://thearp.org/documents/12995/LA_CD_1994.zip,LA,LA
229,Louisiana_CD_1996_2000.zip (96.9 KB),https://thearp.org/documents/12862/Louisiana_CD_1996_2000.zip,LOUISIANA,LA
230,la_upper_2001to2003.zip (972.0 KB),https://thearp.org/documents/10615/la_upper_2001to2003.zip,LA,LA
231,LA_lower_2001to2003.zip (1.6 MB),https://thearp.org/documents/10695/LA_lower_2001to2003.zip,LA,LA
232,LA_CD_2002_2010.zip (840.4 KB),https://thearp.org/documents/11027/LA_CD_2002_2010.zip,LA,LA
233,la_upper_2003to2010.zip (2.1 MB),https://thearp.org/documents/10616/la_upper_2003to2010.zip,LA,LA
234,LA_lower_2003.zip (1.9 MB),https://thearp.org/documents/10694/LA_lower_2003.zip,LA,LA
235,la_lower_2004_2010.zip (3.5 MB),https://thearp.org/documents/10693/la_lower_2004_2010.zip,LA,LA
236,LA_2012to2020_CD.zip (1.3 MB),https://thearp.org/documents/5046/LA_2012to2020_CD.zip,LA,LA
237,LA_2012to2020_SU.zip (5.2 MB),https://thearp.org/documents/5134/LA_2012to2020_SU.zip,LA,LA
238,LA_2012to2020_SL.zip (6.0 MB),https://thearp.org/documents/5175/LA_2012to2020_SL.zip,LA,LA
239,LA_CD_Enacted03302022.zip (1.3 MB),https://thearp.org/documents/736/LA_CD_Enacted03302022.zip,LA,LA
240,LA_SD_Enacted03092022.zip (3.3 MB),https://thearp.org/documents/742/LA_SD_Enacted03092022.zip,LA,LA
241,LA_LD_Enacted03092022.zip (3.6 MB),https://thearp.org/documents/739/LA_LD_Enacted03092022.zip,LA,LA
242,LA_CD_Enacted_01232024.zip (1.5 MB),https://thearp.org/documents/15506/LA_CD_Enacted_01232024.zip,LA,LA
243,la_cd_enacted05292026.zip (275.7 KB),https://thearp.org/documents/20152/la_cd_enacted05292026.zip,LA,LA
244,ME_SLU_1992.zip (1.6 MB),https://thearp.org/documents/12756/ME_SLU_1992.zip,ME,ME
245,ME_SLL_1992.zip (2.5 MB),https://thearp.org/documents/12754/ME_SLL_1992.zip,ME,ME
246,Maine_CD_1994_2000.zip (48.8 KB),https://thearp.org/documents/12863/Maine_CD_1994_2000.zip,MAINE,ME
247,ME_upper_1994to2000.zip (1.7 MB),https://thearp.org/documents/12759/ME_upper_1994to2000.zip,ME,ME
248,ME_SLL_1994-2002.zip (2.6 MB),https://thearp.org/documents/12755/ME_SLL_1994-2002.zip,ME,ME
249,ME_CD_2002.zip (454.0 KB),https://thearp.org/documents/11030/ME_CD_2002.zip,ME,ME
250,me_upper_2003to2011.zip (1.9 MB),https://thearp.org/documents/10619/me_upper_2003to2011.zip,ME,ME
251,me_lower_2003_2011.zip (2.3 MB),https://thearp.org/documents/10689/me_lower_2003_2011.zip,ME,ME
252,ME_CD_2004_2010.zip (473.1 KB),https://thearp.org/documents/11031/ME_CD_2004_2010.zip,ME,ME
253,ME_2012to2020_CD.zip (466.1 KB),https://thearp.org/documents/5049/ME_2012to2020_CD.zip,ME,ME
254,ME_2012_SU.zip (6.1 MB),https://thearp.org/documents/5137/ME_2012_SU.zip,ME,ME
255,ME_2012_SL.zip (6.9 MB),https://thearp.org/documents/5178/ME_2012_SL.zip,ME,ME
256,ME_2014to2020_SU.zip (2.8 MB),https://thearp.org/documents/5138/ME_2014to2020_SU.zip,ME,ME
257,ME_2014to2020_SL.zip (3.7 MB),https://thearp.org/documents/5179/ME_2014to2020_SL.zip,ME,ME
258,ME_CD_Enacted2021_OASIiQR.zip (72.6 KB),https://thearp.org/documents/745/ME_CD_Enacted2021_OASIiQR.zip,ME,ME
259,ME_Upper_Enacted09292021_DWAqdIP.zip (1.6 MB),https://thearp.org/documents/752/ME_Upper_Enacted09292021_DWAqdIP.zip,ME,ME
260,ME_LD_Enacted_Technical_Changes.zip (2.6 MB),https://thearp.org/documents/12516/ME_LD_Enacted_Technical_Changes.zip,ME,ME
261,Maryland_CD_1992_2000.zip (83.6 KB),https://thearp.org/documents/12864/Maryland_CD_1992_2000.zip,MARYLAND,MD
262,MD_Upper_1992thru2000.zip (2.9 MB),https://thearp.org/documents/12751/MD_Upper_1992thru2000.zip,MD,MD
