"FIPS"	"NAME"	"ID"	"STATE"	"VERSION"	"START_DATE"	"END_DATE"	"CREATION_OR_CHANGE"	"CITATION"	"START_N"	"END_N"	"DATASET"
"17193"	"WHITE"	"ils_white"	"IL"	"1"	01 02 1816 0:00:00	01 01 1818 0:00:00	"WHITE created by Illinois Territory from GALLATIN; boundary with GALLATIN is estimated."	"(Ill. Terr. Laws, 185-186)"	18160201	18180101	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"	"4"	01 02 1816 0:00:00	31 03 1816 0:00:00	"GALLATIN lost to creation of WHITE; boundary with WHITE is estimated."	"(Ill. Terr. Laws, 185-186)"	18160201	18160331	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"7"	01 04 1816 0:00:00	31 05 1816 0:00:00	"RANDOLPH lost to creation of JACKSON."	"(Ill. Terr. Laws, 215-217; Ill. Laws 1822-1823, 122-123)"	18160401	18160531	"IL_AtlasHCB"
"17077"	"JACKSON"	"ils_jackson"	"IL"	"1"	01 04 1816 0:00:00	28 01 1827 0:00:00	"JACKSON created by Illinois Territory from JOHNSON and RANDOLPH."	"(Ill. Terr. Laws, 215-217; Ill. Laws 1822-1823, pp. 122-123)"	18160401	18270128	"IL_AtlasHCB"
"17087"	"JOHNSON"	"ils_johnson"	"IL"	"2"	01 04 1816 0:00:00	01 01 1818 0:00:00	"JOHNSON lost to creation of JACKSON and POPE."	"(Ill. Terr. Laws, 215-219; Ill. Laws 1822-1823, pp. 122-123)"	18160401	18180101	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"	"5"	01 04 1816 0:00:00	25 12 1816 0:00:00	"GALLATIN lost to creation of POPE."	"(Ill. Terr. Laws, 217-219)"	18160401	18161225	"IL_AtlasHCB"
"17151"	"POPE"	"ils_pope"	"IL"	"1"	01 04 1816 0:00:00	25 12 1816 0:00:00	"POPE created by Illinois Territory from GALLATIN and JOHNSON."	"(Ill. Terr. Laws, 217-219)"	18160401	18161225	"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"	"8"	01 06 1816 0:00:00	28 01 1827 0:00:00	"RANDOLPH lost to creation of MONROE."	"(Ill. Terr. Laws, 195-198)"	18160601	18270128	"IL_AtlasHCB"
"17133"	"MONROE"	"ils_monroe"	"IL"	"1"	01 06 1816 0:00:00	14 01 1825 0:00:00	"MONROE created by Illinois Territory from RANDOLPH and ST. CLAIR."	"(Ill. Terr. Laws, 195-198)"	18160601	18250114	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"9"	01 06 1816 0:00:00	01 01 1818 0:00:00	"ST. CLAIR lost to creation of MONROE."	"(Ill. Terr. Laws, 195-198)"	18160601	18180101	"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"	"2"	11 12 1816 0:00:00	30 12 1816 0:00:00	"EDWARDS exchanged small areas along the Wabash River with the state of Indiana (created this date), establishing the boundary between the present states of Illinois and Indiana."	"(U.S. Stat., vol. 3, ch. 57 [1816], secs. 1-2/pp. 289-291, and res. 1 [1816]/pp. 399-400; Van Zandt, 115)"	18161211	18161230	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"	"6"	26 12 1816 0:00:00	01 01 1818 0:00:00	"GALLATIN lost to POPE."	"(Ill. Terr. Laws, 239)"	18161226	18180101	"IL_AtlasHCB"
"17151"	"POPE"	"ils_pope"	"IL"	"2"	26 12 1816 0:00:00	01 01 1818 0:00:00	"POPE gained from GALLATIN."	"(Ill. Terr. Laws, 239)"	18161226	18180101	"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"	"3"	31 12 1816 0:00:00	25 03 1819 0:00:00	"EDWARDS lost to creation of CRAWFORD; EDWARDS eliminated from present Wisconsin and Michigan."	"(Ill. Terr. Laws, 247-249)"	18161231	18190325	"IL_AtlasHCB"
"17033"	"CRAWFORD"	"ils_crawford"	"IL"	"1"	31 12 1816 0:00:00	02 12 1818 0:00:00	"CRAWFORD created by Illinois Territory from EDWARDS; CRAWFORD included territory in present Illinois, Wisconsin, and Michigan."	"(Ill. Terr. Laws, 247-249)"	18161231	18181202	"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"3"	04 01 1817 0:00:00	02 12 1818 0:00:00	"MADISON lost to creation of BOND."	"(Ill. Terr. Laws, 254-256)"	18170104	18181202	"IL_AtlasHCB"
"17005"	"BOND"	"ils_bond"	"IL"	"1"	04 01 1817 0:00:00	02 12 1818 0:00:00	"BOND created by Illinois Territory from MADISON; BOND included territory in present Illinois, Wisconsin, and Michigan."	"(Ill. Terr. Laws, 254-256)"	18170104	18181202	"IL_AtlasHCB"
"17193"	"WHITE"	"ils_white"	"IL"	"2"	02 01 1818 0:00:00	25 03 1819 0:00:00	"WHITE lost to creation of FRANKLIN."	"(Ill. Terr. Laws, 290-291)"	18180102	18190325	"IL_AtlasHCB"
"17055"	"FRANKLIN"	"ils_franklin"	"IL"	"1"	02 01 1818 0:00:00	28 02 1835 0:00:00	"FRANKLIN created by Illinois Territory from GALLATIN, JOHNSON, and WHITE."	"(Ill. Terr. Laws, 290-291)"	18180102	18350228	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"	"7"	02 01 1818 0:00:00	19 02 1847 0:00:00	"GALLATIN lost to creation of FRANKLIN."	"(Ill. Terr. Laws, 290-291)"	18180102	18470219	"IL_AtlasHCB"
"17181"	"UNION"	"ils_union"	"IL"	"1"	02 01 1818 0:00:00	31 12 2000 0:00:00	"UNION created by Illinois Territory from JOHNSON; part of JOHNSON  became Non-County Area 1 and was attached to UNION for administrative and judicial purposes."	"(Ill. Terr. Laws, 292-294)"	18180102	20001231	"IL_AtlasHCB"
"17151"	"POPE"	"ils_pope"	"IL"	"3"	02 01 1818 0:00:00	04 08 1839 0:00:00	"POPE lost to JOHNSON."	"(Ill. Terr. Laws, 292-294)"	18180102	18390804	"IL_AtlasHCB"
"17087"	"JOHNSON"	"ils_johnson"	"IL"	"3"	02 01 1818 0:00:00	07 02 1843 0:00:00	"JOHNSON gained from POPE, lost to creation of FRANKLIN and UNION, and lost to creation of Non-County Area 1."	"(Ill. Terr. Laws, 290-294)"	18180102	18430207	"IL_AtlasHCB"
"17189"	"WASHINGTON"	"ils_washington"	"IL"	"1"	02 01 1818 0:00:00	26 12 1824 0:00:00	"WASHINGTON created by Illinois Territory from ST. CLAIR."	"(Ill. Terr. Laws, 312-314)"	18180102	18241226	"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"	"10"	02 01 1818 0:00:00	14 01 1825 0:00:00	"ST. CLAIR lost to creation of WASHINGTON."	"(Ill. Terr. Laws, 312-314)"	18180102	18250114	"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"		06 01 1818 0:00:00		"Boundary between MADISON and ST. CLAIR was redefined [no change]."	"(Ill. Terr. Laws, 311)"	18180106		"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"		06 01 1818 0:00:00		"Boundary between ST. CLAIR and MADISON was redefined [no change]."	"(Ill. Terr. Laws, 311)"	18180106		"IL_AtlasHCB"
"17119"	"MADISON"	"ils_madison"	"IL"	"4"	03 12 1818 0:00:00	19 01 1821 0:00:00	"MADISON lost all territory in present Michigan, Minnesota, and Wisconsin to Michigan Territory when the state of Illinois was created from Illinois Territory; MADISON became a county in the state of Illinois."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203	18210119	"IL_AtlasHCB"
"17077"	"JACKSON"	"ils_jackson"	"IL"		03 12 1818 0:00:00		"JACKSON became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17151"	"POPE"	"ils_pope"	"IL"		03 12 1818 0:00:00		"POPE became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17087"	"JOHNSON"	"ils_johnson"	"IL"		03 12 1818 0:00:00		"JOHNSON became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17181"	"UNION"	"ils_union"	"IL"		03 12 1818 0:00:00		"UNION became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17157"	"RANDOLPH"	"ils_randolph"	"IL"		03 12 1818 0:00:00		"RANDOLPH became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17133"	"MONROE"	"ils_monroe"	"IL"		03 12 1818 0:00:00		"MONROE became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17047"	"EDWARDS"	"ils_edwards"	"IL"		03 12 1818 0:00:00		"EDWARDS became a county in the state of Illinois when Illinois was created from Illinois Territory with present boundaries."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17189"	"WASHINGTON"	"ils_washington"	"IL"		03 12 1818 0:00:00		"WASHINGTON became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17055"	"FRANKLIN"	"ils_franklin"	"IL"		03 12 1818 0:00:00		"FRANKLIN became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17163"	"ST. CLAIR"	"ils_stclair"	"IL"		03 12 1818 0:00:00		"ST. CLAIR became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17193"	"WHITE"	"ils_white"	"IL"		03 12 1818 0:00:00		"WHITE became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17033"	"CRAWFORD"	"ils_crawford"	"IL"	"2"	03 12 1818 0:00:00	21 03 1819 0:00:00	"CRAWFORD lost all territory in present Michigan and Wisconsin to Michigan Territory when the state of Illinois was created from Illinois Territory; CRAWFORD became a county in the state of Illinois."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203	18190321	"IL_AtlasHCB"
"17059"	"GALLATIN"	"ils_gallatin"	"IL"		03 12 1818 0:00:00		"GALLATIN became a county in the state of Illinois when Illinois was created from Illinois Territory."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203		"IL_AtlasHCB"
"17005"	"BOND"	"ils_bond"	"IL"	"2"	03 12 1818 0:00:00	29 01 1821 0:00:00	"BOND lost all territory in present Michigan and Wisconsin to Michigan Territory when the state of Illinois was created from Illinois Territory; BOND became a county in the state of Illinois."	"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)"	18181203	18210129	"IL_AtlasHCB"
