Election,OfficeName,VoteFor,CandidateID,CanFirstName,CanLastName,CanAffilCommit,County,Votes,PartyName,PartyAbbrev
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,GREENE,1538,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,SHELBY,76,DEMOCRATIC,DEM
GP 1998,49TH SENATE,1,4981,VINCE,DEMUZIO,,MONTGOMERY,1903,DEMOCRATIC,DEM
GP 1998,61ST REPRESENTATIVE,1,4982,ANDREA S.,MOORE,,LAKE,9447,REPUBLICAN,REP
GP 1998,61ST REPRESENTATIVE,1,4983,GERALDINE,CALLAN,,LAKE,2818,DEMOCRATIC,DEM
GP 1998,50TH SENATE,1,4984,LARRY K.,BOMKE,,CASS,359,REPUBLICAN,REP
GP 1998,50TH SENATE,1,4984,LARRY K.,BOMKE,,SANGAMON,22151,REPUBLICAN,REP
GP 1998,50TH SENATE,1,4984,LARRY K.,BOMKE,,MENARD,2251,REPUBLICAN,REP
GP 1998,62ND REPRESENTATIVE,1,4985,TIMOTHY H.,OSMOND,,LAKE,5405,REPUBLICAN,REP
GP 1998,50TH SENATE,1,4986,GWEN,MONTGOMERY,,CASS,537,DEMOCRATIC,DEM
GP 1998,50TH SENATE,1,4986,GWEN,MONTGOMERY,,SANGAMON,7093,DEMOCRATIC,DEM
GP 1998,50TH SENATE,1,4986,GWEN,MONTGOMERY,,MENARD,329,DEMOCRATIC,DEM
GP 1998,62ND REPRESENTATIVE,1,4987,PAUL,PETERSEN,,LAKE,4340,REPUBLICAN,REP
GP 1998,63RD REPRESENTATIVE,1,4988,"MICHAEL J. ""MIKE""",BROWN,,McHENRY,7675,REPUBLICAN,REP
GP 1998,63RD REPRESENTATIVE,1,4989,STEVEN ROBERT,VERR,,McHENRY,7318,REPUBLICAN,REP
GP 1998,52ND SENATE,1,4990,STANLEY B.,WEAVER,,CHAMPAIGN,10886,REPUBLICAN,REP
GP 1998,52ND SENATE,1,4990,STANLEY B.,WEAVER,,DOUGLAS,1025,REPUBLICAN,REP
GP 1998,52ND SENATE,1,4990,STANLEY B.,WEAVER,,FORD,2435,REPUBLICAN,REP
GP 1998,63RD REPRESENTATIVE,1,4991,JACK D.,FRANKS,,McHENRY,1734,DEMOCRATIC,DEM
GP 1998,53RD SENATE,1,4992,JUDITH A.,MYERS,,IROQUOIS,2418,REPUBLICAN,REP
GP 1998,53RD SENATE,1,4992,JUDITH A.,MYERS,,CLARK,1772,REPUBLICAN,REP
GP 1998,53RD SENATE,1,4992,JUDITH A.,MYERS,,COLES,4030,REPUBLICAN,REP
GP 1998,53RD SENATE,1,4992,JUDITH A.,MYERS,,DOUGLAS,170,REPUBLICAN,REP
GP 1998,53RD SENATE,1,4992,JUDITH A.,MYERS,,EDGAR,1698,REPUBLICAN,REP
GP 1998,53RD SENATE,1,4992,JUDITH A.,MYERS,,VERMILION,6253,REPUBLICAN,REP
GP 1998,53RD SENATE,1,4993,DON,ROESCH,,IROQUOIS,414,DEMOCRATIC,DEM
GP 1998,53RD SENATE,1,4993,DON,ROESCH,,CLARK,1187,DEMOCRATIC,DEM
GP 1998,53RD SENATE,1,4993,DON,ROESCH,,COLES,2667,DEMOCRATIC,DEM
GP 1998,53RD SENATE,1,4993,DON,ROESCH,,DOUGLAS,57,DEMOCRATIC,DEM
GP 1998,53RD SENATE,1,4993,DON,ROESCH,,EDGAR,834,DEMOCRATIC,DEM
GP 1998,53RD SENATE,1,4993,DON,ROESCH,,VERMILION,3237,DEMOCRATIC,DEM
GP 1998,63RD REPRESENTATIVE,1,4994,FRANK,McCLATCHEY,,McHENRY,1323,DEMOCRATIC,DEM
GP 1998,64TH REPRESENTATIVE,1,4995,CAL,"SKINNER, JR.",,COOK,793,REPUBLICAN,REP
GP 1998,64TH REPRESENTATIVE,1,4995,CAL,"SKINNER, JR.",,McHENRY,7304,REPUBLICAN,REP
GP 1998,55TH SENATE,1,4996,FRANK,WATSON,,BOND,849,REPUBLICAN,REP
